5.0,441.0,1958,2156,138.147,78.0771
10.0,25.96,16,1866,18.4528,2.48642
4.0,32.48,16,1989,13.5053,5.3548
0.0,3.09,16,27,0.76275,1.04538
0.0,15.0,27,16,1.65119,1.14462
0.0,1.27,16,1866,0.565109,0.215907
0.0,4.96667,105,44,0.281156,0.482441
0.0,0.56,0,52,0.117207,0.178841
0.0,0.0,0,0,0.0,0.0
0.0,0.0001,0,125,3.19693e-08,1.78771e-06
0.0,0.5,0,13,0.0163622,0.0550101
0.0,4.64,13,11,0.00870396,0.131281
0.0,3.1,0,135,0.218031,0.664038
0.0,0.2,0,3010,0.024202,0.0454506
0.0,0.44,47,1709,0.0928475,0.0906891
0.0,0.08,16,45,0.00107615,0.00356582
0.0,0.044,16,13,0.0225521,0.00588258
0.0,0.03,0,511,0.01043,0.00657138
0.0,0.54,0,1960,0.0397577,0.1056
0.0,3.93,12,36,0.0734655,0.353681
0.0,0.02,0,125,4.82737e-05,0.000675595
0.0,0.01,0,125,3.19693e-06,0.000178771
0.0,5.84507,47,3088,0.768159,0.762423
17530.7,31976.5,233,2068,22546.8,2503.09
